Intel Processor	Year	Transistors				
4004	1971.9	2300				
8008	1972.3	3500				
8080	1974.3	6000				
8085	1976.3	6500				
8086	1978.5	29000				
8088	1979.5	29000				
80286	1982.2	134000				
80386	1985.8	275000				
80486	1989.3	1180000				
Pentium	1993.3	3100000				
DX4	1994.3	1600000				
Pentium	1994.3	3300000				
Pentium Pro	1995.9	5500000				
Pentium MMX	1996.8	4500000				
Pentium II	1997.4	7500000				
Pentium II Xeon	1998.5	7500000				
Pentium III Xeon	1999.3	9500000				
Pentium III	1999.8	28100000				
Pentium III Xeon	2000.4	28000000				
Pentium 4	2000.9	42000000				
Itanium	2001.4	25000000				
Xeon	2001.4	42000000				
Pentium 4	2001.7	55000000				
Xeon	2002.0	55000000				
Xeon MP	2002.3	108000000				
Xeon MP	2002.5	178000000				
Itanium 2	2002.6	220000000				
Pentium 3	2002.6	44000000				
Pentium M	2003.3	77000000				
Itanium 2	2003.5	410000000				
Pentium 4	2003.9	178000000				
Xeon MP	2004.3	286000000				
Pentium M700	2004.4	140000000				
Itanium 2	2004.9	592000000				
Pentium 4	2005.2	169000000				
Pentium D800	2005.4	230000000				
Xeon Dual	2005.8	338000000				
Pentium D900	2006.0	376000000				
Pentium 4	2006.0	118000000				
Pentium Extreme	2006.0	376000000				
Core Duo T2000	2006.2	152000000				
Core2 Duo T7000	2006.6	291000000				
Dual Core Itanium 2	2006.6	1720000000				
Xeon Quad 7000	2006.7	1328000000				
Core2 Q6000	2007.0	582000000				
Xeon Quad 7000	2007.8	582000000				
Core2 Q9000	2007.9	820000000				
Xeon Quad 5000	2007.9	820000000				
Core2 Duo E8000	2008.0	410000000				
Xeon Quad 3000	2008.0	820000000				
Xeon 7000	2008.8	1900000000				
Core i7 900	2008.9	731000000				
Xeon Quad 3500 (Bloomfield)	2009.3	731000000				
4Core i7 860 (Lynnfield)	2009.8	774000000				
Xeon 7000 8Core Beckton EX	2010.3	2300000000				
2Core i5 600 (Clarkdale)	2010.6	384000000				
6Core i7 980 (Gulftown)	2011.5	1170000000				
2Core i3 2100	2011.2	624000000				
Xeon E7 10core Westmere EX	2011.3	2600000000				
4Core i7 2600	2011.8	1160000000				
4Core i5 2500	2011.8	995000000				
Core i7 3830	2011.9	2270000000				
4Core i7 3770	2012.4	1400000000				
Xeon E3 1200 4core	2012.4	1400000000				
core i7 4820	2013.7	1860000000				
Xeon Ivy V7e2	2014.0	4310000000				
Core i3 4130	2013.7	1400000000				
Core i7 5820	2014.7	1400000000				
18core Xeon Haswell E5	2014.0	5690000000				
Core M	2014.9	1300000000				
Core i7	2015.0	1900000000				
4-10 core	2016.2	3200000000				
12-15 core	2016.4	4700000000				
16-24-core Broadwell-E	2016.4	7200000000				
